ID,Number,From,To,WaitToBoard,TotalTime
471,3,0,2,18,48
475,3,1,3,29,57
473,1,5,0,79,128
472,4,1,0,114,128
477,3,0,1,2,17
478,2,0,1,2,17
476,1,0,5,4,55
479,6,0,2,39,61
480,1,2,5,63,91
481,2,2,1,25,39
487,6,1,0,22,38
488,6,1,0,18,34
483,4,0,2,54,76
482,3,0,4,55,105
485,4,3,5,83,111
484,2,3,1,135,156
489,4,5,4,32,47
491,2,5,4,31,46
493,2,5,0,27,85
495,2,1,0,66,80
490,4,0,1,90,108
497,3,0,1,81,99
492,4,0,3,88,128
496,2,0,4,81,135
494,4,0,5,83,151
503,4,1,4,17,53
502,5,3,4,41,56
498,4,0,5,190,256
504,4,3,0,87,130
499,1,2,0,112,141
500,3,1,0,125,140
501,5,1,0,125,140
43,3,5,0,1148,-1
64,4,4,0,1719,-1
73,1,3,0,1929,-1
133,4,5,0,3502,-1
239,6,3,4,6365,-1
274,6,4,0,7306,-1
281,3,5,4,7676,-1
384,1,5,4,10283,-1
421,3,4,5,10844,-1
486,2,3,0,13042,-1
